email,username,staffNumber,jobTitle,departmentCode,specialization,role,password
john.records@hospital.com,jrecords,STAFF-001,Records Officer,RECORDS,,RECORDS_CLERK,
mary.records@hospital.com,mrecords,STAFF-002,Senior Records Officer,RECORDS,,RECORDS_CLERK,
peter.records@hospital.com,precords,STAFF-003,Records Clerk,RECORDS,,RECORDS_CLERK,
sarah.opd@hospital.com,sopd,STAFF-004,OPD Nurse,OPD,General Medicine,NURSE,
james.opd@hospital.com,jopd,STAFF-005,Medical Officer,OPD,General Medicine,PHYSICIAN,
grace.opd@hospital.com,gopd,STAFF-006,OPD Receptionist,OPD,,RECEPTIONIST,
david.consulting1@hospital.com,dconsult1,STAFF-007,Medical Officer,CONSULTING-1,General Practice,PHYSICIAN,
emily.consulting1@hospital.com,econsult1,STAFF-008,Assistant Nurse,CONSULTING-1,,NURSE,
michael.consulting1@hospital.com,mconsult1,STAFF-009,Clinical Officer,CONSULTING-1,,PHYSICIAN,
anna.consulting2@hospital.com,aconsult2,STAFF-010,Consultant Physician,CONSULTING-2,Internal Medicine,SPECIALIST,
robert.consulting2@hospital.com,rconsult2,STAFF-011,Medical Officer,CONSULTING-2,,PHYSICIAN,
lisa.consulting2@hospital.com,lconsult2,STAFF-012,Nurse Assistant,CONSULTING-2,,NURSE,
thomas.consulting3@hospital.com,tconsult3,STAFF-013,Senior Medical Officer,CONSULTING-3,Family Medicine,PHYSICIAN,
jessica.consulting3@hospital.com,jconsult3,STAFF-014,Registered Nurse,CONSULTING-3,,NURSE,
daniel.consulting3@hospital.com,dconsult3,STAFF-015,Clinical Assistant,CONSULTING-3,,STAFF,
nancy.nurses@hospital.com,nnurses,STAFF-016,Nursing Supervisor,NURSES-STATION,,NURSE_MANAGER,
kevin.nurses@hospital.com,knurses,STAFF-017,Senior Nurse,NURSES-STATION,,NURSE,
linda.nurses@hospital.com,lnurses,STAFF-018,Staff Nurse,NURSES-STATION,,NURSE,
rachel.vitals@hospital.com,rvitals,STAFF-019,Vitals Nurse,VITALS-ROOM,,NURSE,
brian.vitals@hospital.com,bvitals,STAFF-020,Nurse Assistant,VITALS-ROOM,,NURSE,
karen.vitals@hospital.com,kvitals,STAFF-021,Healthcare Assistant,VITALS-ROOM,,STAFF,
